#random sampling: 1000
Gene	JS_LYG_bin_20	SD_DY_bin_417	SD_DY_bin_76	HN_SY_bin_61	ZJ_NB_bin_158	SD_DY_bin_75	JS_LYG_bin_42	SD_DY_bin_480	JS_LYG_bin_103	JS_LYG_bin_132	ZJ_NB_bin_115	GD_ST_bin_83	JS_YC_bin_221	SD_QD_bin_87	SD_DY_bin_227	JS_YC_bin_164	ZJ_NB_bin_129	GX_BH_bin_82	GX_BH_bin_20	ZJ_WZ_bin_184	ZJ_WZ_bin_243	GD_ZH_bin_112	GD_ZH_bin_224	ZJ_NB_bin_117	SD_DY_bin_7	SD_QD_bin_67	SD_DY_bin_343	GD_ZH_bin_260	SD_DY_bin_156	LN_DD_bin_95	JS_LYG_bin_19
glsA	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0
gs_K00264	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gs_K00265	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
gs_K00266	4	0	0	13	7	1	7	1	3	12	7	0	0	11	1	0	5	15	0	0	2	2	5	9	1	6	0	1	1	13	3
hao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hcp	0	0	0	1	0	0	2	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1
nao	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
napA	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0
narB	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
narC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
nasA	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1
nasB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nifD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
nifH	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	1	1
nifK	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	2
nirA	0	1	0	0	2	1	0	1	0	0	0	1	1	0	1	1	1	1	2	1	0	0	0	2	1	0	1	1	1	0	0
nirB	2	2	0	0	2	2	1	1	0	3	0	0	1	1	1	1	1	2	2	1	0	1	1	0	1	6	1	1	1	1	1
nirD	0	2	0	0	1	2	1	1	0	0	2	2	2	0	1	2	0	0	1	3	0	0	0	0	3	0	1	3	4	1	0
nirK	0	4	1	0	0	5	0	4	0	0	1	3	5	0	6	7	3	0	4	3	0	0	0	0	2	0	3	8	3	0	0
nirS	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	1	0	0	0	1	1
nmo	4	4	2	1	2	4	2	3	3	3	7	2	3	5	3	5	3	2	1	4	3	3	3	2	3	6	4	6	4	2	1
norB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nosZ	1	0	0	5	2	1	1	0	1	0	2	0	2	1	1	0	2	1	0	3	0	0	2	2	1	0	0	0	1	4	0
nrfC	2	0	0	0	1	0	2	0	1	4	2	0	0	0	0	0	2	3	0	0	2	0	0	1	0	3	0	0	0	2	3
ureA	0	2	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ureB	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ureC	0	2	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0
