#random sampling: 1000
Gene	GX_BH_bin_82	SD_DY_bin_7	JS_YC_bin_221	GD_ZH_bin_224	JS_LYG_bin_132	SD_QD_bin_67	SD_DY_bin_480	SD_DY_bin_156	SD_QD_bin_87	SD_DY_bin_227	SD_DY_bin_75	ZJ_NB_bin_158	GD_ZH_bin_260	SD_DY_bin_343	ZJ_WZ_bin_243	JS_LYG_bin_103	JS_LYG_bin_19	ZJ_WZ_bin_184	ZJ_NB_bin_115	SD_DY_bin_76	SD_DY_bin_417	HN_SY_bin_61	LN_DD_bin_95	JS_LYG_bin_42	GD_ST_bin_83	GX_BH_bin_20	JS_LYG_bin_20	ZJ_NB_bin_129	JS_YC_bin_164	GD_ZH_bin_112	ZJ_NB_bin_117
dmdD	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1
dmsA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	1	0	0	0
dmsB	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
dsrA	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dsrB	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dsrF	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dsrH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
dsrP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
fccB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
fsr	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gdh	1	1	1	0	3	2	1	1	3	1	1	0	1	1	1	1	0	1	2	1	1	0	1	0	1	2	0	1	1	1	2
glpE	10	0	4	6	12	10	4	3	6	6	2	7	4	2	6	3	2	2	8	2	2	13	17	6	3	6	8	10	5	5	4
hdrA1	3	0	0	0	3	2	0	0	2	0	0	2	0	0	1	2	1	0	0	0	0	2	0	3	0	0	2	1	0	0	3
hdrA2	17	0	0	0	4	1	0	0	3	0	0	2	0	0	3	2	0	0	1	0	0	3	3	2	0	0	0	0	0	0	8
hdrB1	4	0	0	0	3	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	2
hdrB2	5	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
hdrC1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hdrC2	6	0	0	0	3	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1
hdrD	9	0	0	1	4	2	0	0	0	0	0	4	0	0	2	0	2	0	1	0	0	0	1	0	0	0	2	2	0	1	2
hdrE	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hpsN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
hpsP	1	2	4	1	1	0	2	2	0	2	3	0	3	1	0	0	0	3	1	0	2	1	1	1	0	1	0	1	3	1	0
hydA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hydB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
hydD	2	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	4	2	1	0	0	0	0	0	0	2
isfD	0	1	3	0	2	0	1	2	1	1	1	0	2	0	0	0	0	2	6	1	3	0	0	1	1	2	0	8	2	0	0
mccB	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mddA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
mdh	2	1	3	2	1	3	3	3	3	2	3	2	3	2	1	1	2	3	3	0	3	1	2	5	2	1	1	3	3	1	1
metA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metB	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	2	0	0	2	3	1	0	1	1	2	1	0	1
metC	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	3	0	0	5	7	1	0	0	0	7	1	0	1
metX	2	2	0	1	2	4	3	0	0	1	1	6	3	0	2	1	9	1	1	0	0	0	2	5	1	1	2	3	3	1	3
metY	0	1	0	0	0	2	1	0	0	2	0	0	1	0	0	2	0	0	2	0	0	3	4	1	0	0	1	3	0	2	0
metZ	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	2	0	0	0
mtsA	0	0	0	1	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mtsB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1
nrnA	1	0	0	0	1	5	0	0	1	0	0	0	0	0	1	1	3	0	0	1	0	0	1	0	0	0	4	1	0	0	0
prpE	3	0	0	1	1	2	0	2	2	1	2	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	1	2	0	0
psrC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pta	1	0	0	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	1	1	1	1	1	1	0	0
qmoB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
sat	1	2	1	0	0	1	2	2	0	1	3	1	2	3	1	0	0	2	0	0	3	1	2	0	0	3	0	1	3	0	0
sbp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sfnG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
shyA	1	0	0	2	1	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	1	1
shyC	0	0	1	2	3	0	0	0	2	1	0	1	0	1	1	0	1	0	2	0	1	1	1	0	0	0	3	1	0	0	1
shyD	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
sir	0	0	1	1	0	1	1	0	1	1	1	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	1	0	2
slcD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
soeA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
soxB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
soxC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0
soxX	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sqdB	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	2	2	0	0	0	0	0	0	0	0
sqdX	9	0	0	2	2	0	0	1	2	0	0	1	0	0	4	1	5	0	3	1	0	0	0	4	0	0	6	2	0	2	0
sqr	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0
sseA	0	0	2	1	0	0	2	1	1	1	2	3	4	1	0	0	0	1	1	0	1	0	0	0	1	5	5	2	2	0	0
ssuA	0	1	2	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1
ssuB	2	0	3	3	0	1	1	1	0	1	1	0	0	0	1	0	2	0	0	0	0	1	1	1	2	0	1	0	0	2	0
ssuC	0	0	1	2	0	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0
ssuD	0	0	0	0	0	0	2	1	0	1	1	0	1	0	0	0	0	0	2	0	0	2	4	0	1	1	0	2	1	0	0
ssuE	0	2	1	0	0	2	2	0	0	1	0	0	1	1	1	0	1	1	2	0	1	0	0	1	0	0	2	1	2	1	0
sudA	6	1	1	1	6	2	2	0	6	0	2	0	0	1	3	2	1	0	3	0	0	6	5	4	1	2	2	2	1	0	4
sudB	0	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	4
sulP	3	0	0	0	0	3	0	0	1	2	0	1	1	0	0	2	0	2	1	0	0	2	3	0	1	0	0	1	0	0	0
suyA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
suyB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
tauA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tauC	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0
tbuC	0	2	2	0	0	0	2	3	0	1	1	0	2	2	0	0	0	1	0	0	2	0	0	0	1	2	0	0	2	0	0
tetH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
tmoC	0	0	2	0	0	0	1	0	0	1	1	0	2	0	0	0	0	3	0	0	1	0	2	0	1	0	0	0	2	0	0
tpa	1	1	2	2	0	1	2	1	0	1	3	1	3	1	0	0	1	3	1	0	0	3	7	0	1	1	0	1	2	0	3
ttrA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ttrB	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	2	0	1	0
tusA	0	0	1	0	3	1	1	0	0	2	1	0	1	0	0	0	0	0	2	0	1	2	4	0	1	0	1	3	1	1	0
tusB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xsc	0	0	1	1	0	0	2	2	0	1	1	1	1	0	1	0	3	0	0	0	1	4	7	1	1	1	1	2	1	0	0
